title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
伽达默尔传：理解的善良意志 ,[加]让·格朗丹, 拜德雅 | 上海社会科学院出版社,"黄旺,胡成恩", 2020-4, 536, 98.00,拜德雅·人文档案,https://book.douban.com/series/50356, 9787552029956,9.1,76,https://book.douban.com/subject/34933772/
被毁灭的人：重建人文精神 : 重建人文精神,[法]让-弗朗索瓦·马太伊, 拜德雅 | 长江文艺出版社,康家越, 2021-4, 252, 48.00元,,, 9787570220045,,,https://book.douban.com/subject/35356354/
让-弗朗索瓦·利奥塔 ,[英]基夫•班福德（Kiff Bamford）," <a href=""https://book.douban.com/series/44765?brand=1"">南京大学出版社·守望者</a>",曹金羽, 2021-1-1, 194, 49,,, 9787305228896,8.0,25,https://book.douban.com/subject/34940783/
动物与人二讲 ,[法]吉尔伯特·西蒙东, 拜德雅丨广西人民出版社,宋德超, 2021-3, 152, 38.00元,拜德雅·人文丛书,https://book.douban.com/series/30521, 9787219111499,8.6,49,https://book.douban.com/subject/35326127/
托克维尔传 : 革命时代的民主先知,[英] 休·布罗根, 浙江大学出版社·启真馆,"盛仁杰,董子云", 2017-4, 623, 108.00,启真·思想家,https://book.douban.com/series/18595, 9787308167451,8.0,55,https://book.douban.com/subject/26997127/
大转向 : 世界如何步入现代,斯蒂芬·格林布拉特（Stephen Greenblatt）, 社会科学文献出版社,唐建清, 2020-9, 335, 68,甲骨文丛书,https://book.douban.com/series/23971, 9787520116169,8.1,57,https://book.douban.com/subject/35030190/
毛姆传 : 全本,[英] 赛琳娜·黑斯廷斯, 理想国丨北京日报出版社,姜昊骞, 2021-5, 720,,,, 9787547739341,,,https://book.douban.com/subject/35433902/
孟德斯鸠传 ,[法]路易·戴格拉夫 著, 浙江大学出版社,"许明龙,赵克非", 2016-4, 480, 75.00元,启真·思想家,https://book.douban.com/series/18595, 9787308155670,8.1,17,https://book.douban.com/subject/26718494/
何故为敌 ,[德]卡罗琳·艾姆克(Carolin Emcke), 索·恩| 社会科学文献出版社,郭力, 2019-3, 201, 49.00,索 • 恩（Thorn Bird）,https://book.douban.com/series/41899, 9787520142656,6.9,123,https://book.douban.com/subject/30443970/
二十世纪以来的社会理论 ,[英]帕特里克·贝尔特                   /                [葡]菲利佩·卡雷拉·达·席尔瓦, 商务印书馆,瞿铁鹏, 2014-7, 405, 36.00,,, 9787100095273,8.7,164,https://book.douban.com/subject/25902442/
文化与权力 : 布尔迪厄的社会学,[美]戴维·斯沃茨, 上海译文出版社,陶东风, 2012-5, 354, 39.00元,世纪人文系列丛书·世纪前沿,https://book.douban.com/series/290, 9787532758029,8.6,158,https://book.douban.com/subject/10733202/
现实的社会建构 : 知识社会学论纲,[美] 彼得·伯格                   /                        [美] 托马斯·卢克曼, 北京大学出版社,吴肃然, 2019-3, 284, 38.00元,未名社科·大学经典,https://book.douban.com/series/22760, 9787301302071,9.4,991,https://book.douban.com/subject/30421672/
科学与知识社会学 ,迈克尔·马尔凯, 东方出版社,林聚任, 2001-12, 180, 12.50元,知识与社会译丛,https://book.douban.com/series/33598, 9787506015431,8.4,22,https://book.douban.com/subject/1096254/
观察者的技术 : 论十九世纪的视觉与现代性,[美] 乔纳森·克拉里（Jonathan Crary）, 华东师范大学出版社,蔡佩君, 2017-5-1, 272, 50.00元,轻与重,https://book.douban.com/series/13907, 9787567561786,8.5,298,https://book.douban.com/subject/27030480/
南京课程 : 从《德意志意识形态》到《自然辩证法 》 : 在人类纪时代阅读马克思和恩格斯 : 汉英对照,[法]贝尔纳·斯蒂格勒, 南京大学出版社,张福公, 2019-10-31, 288, 69元,当代激进思想家译丛,https://book.douban.com/series/21948, 9787305198526,8.4,44,https://book.douban.com/subject/27664282/
意外地哲学思考 : 与埃利·杜灵访谈,[法]贝尔纳·斯蒂格勒, 上海社会科学院出版社,许煜, 2018-8, 155, 58,媒体与技术哲学丛书,https://book.douban.com/series/49258, 9787552022650,8.1,40,https://book.douban.com/subject/30192874/
自主性技术 : 作为政治思想主题的失控技术,[美] 兰登·温纳, 北京大学出版社,杨海燕, 2014-2, 316, 45.00,北京大学科技哲学丛书,https://book.douban.com/series/9370, 9787301236567,8.7,58,https://book.douban.com/subject/25841080/
知识和社会意象 ,大卫·布鲁尔, 东方,艾彦, 2001-12, 324, 21.50元,知识与社会译丛,https://book.douban.com/series/33598, 9787506015462,7.4,26,https://book.douban.com/subject/1096253/
科学的制造 : 在自然界与社会之间,,"<div id=""info"" class="""">                         上海人民","林建成,王毅", 2001-3,, 21.5,,, 9787208036321,8.1,16,https://book.douban.com/subject/1086162/
真科学 : 它是什么 它指什么,约翰·齐曼, 上海科技教育出版社,"曾国屏,国辉,张成岗", 2008-12, 468, 42.00元,世纪人文系列丛书·开放人文,https://book.douban.com/series/3658, 9787542847607,7.3,30,https://book.douban.com/subject/3561417/
The Social Life of Things : Commodities in Cultural Perspective,Arjun Appadurai, Cambridge University Press,, 1988-1-29, 339, USD 34.99,,, 9780521357265,8.9,87,https://book.douban.com/subject/2027600/
改变秩序 : 科学实践中的复制与归纳,哈里·柯林斯, 上海科技教育出版社,, 2007-12, 226, 39.00元,山西大学科学技术哲学译丛,https://book.douban.com/series/26994, 9787542844255,8.1,17,https://book.douban.com/subject/2986122/
Social relations and spatial structures ,Derek Gregory                   /                John Urry, Palgrave Macmillan,, 1985-11, 440, USD 86.00,,, 9780312735869,,,https://book.douban.com/subject/2368411/
State in Society : Studying How States and Societies Transform and Constitute One Another,Joel S. Migdal, Cambridge University Press,, 2001-09-10, 306, USD 79.00,Cambridge Studies in Comparative Politics,https://book.douban.com/series/9459, 9780521792868,8.8,26,https://book.douban.com/subject/3706871/
科学、真理与民主 ,[英]菲利普·基切尔, 上海交通大学出版社,, 2015-1,, 45.00元,,, 9787313122995,,,https://book.douban.com/subject/26338537/
Reassembling the Social : An Introduction to Actor-Network-Theory,Bruno Latour, Oxford University Press,, 2005-9-29, 312, USD 56.00,,, 9780199256044,8.7,97,https://book.douban.com/subject/1470261/
福利国家的矛盾 ,克劳斯·奥菲, 吉林人民出版社,郭忠华, 2011-1-1, 243, 29.00元,人文译丛（2011）,https://book.douban.com/series/14056, 9787206072086,7.4,13,https://book.douban.com/subject/5406385/
后社会主义转轨的思索 ,雅诺什·科尔奈, 吉林人民出版社,肖梦, 2011-1-1, 247, 30.00元,人文译丛（2011）,https://book.douban.com/series/14056, 9787206071515,8.3,17,https://book.douban.com/subject/5406371/
自由市场经济学 ,安德鲁·肖特（Andrew Schotter）, 中国人民大学出版社,"叶柱政,莫远君", 2012-9, 151, 28.00元,当代世界学术名著·经济学系列,https://book.douban.com/series/5004, 9787300163116,,,https://book.douban.com/subject/19978750/
经济学与消费者行为 ,安格斯·迪顿                   /                        约翰·米尔鲍尔, 中国人民大学出版社,, 2005-9-1, 491, 39.00元,当代世界学术名著·经济学系列,https://book.douban.com/series/5004, 9787300067926,8.4,13,https://book.douban.com/subject/1445279/
社会权力的来源（第二卷） : 阶级和民族国家的兴起（1760-1914）上下,[英] 迈克尔·曼, 上海人民出版社,陈海宏, 2015-8-1, 899, CNY 138.00,世纪人文系列丛书·世纪前沿,https://book.douban.com/series/290, 9787208131224,,,https://book.douban.com/subject/26438563/
交易费用政治学 ,道格拉斯·C·诺思 主编                   /                巴里·温加斯特 等, 中国人民大学出版社,, 2013-1, 419, 78.00元,诺贝尔经济学奖获得者丛书,https://book.douban.com/series/19221, 9787300168821,8.0,14,https://book.douban.com/subject/21268093/
民主的价值 ,伊恩·夏皮罗, 中央编译出版社,, 2015-4-1, 276, 53.00元,剑桥公共安全管理译丛,https://book.douban.com/series/25482, 9787511722973,,,https://book.douban.com/subject/26308645/
