title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
苦命天子 : 咸丰皇帝奕詝,茅海建, 生活·读书·新知三联书店,, 2006-4, 314, 24.00元,文史悦读,https://book.douban.com/series/12783, 9787108023988,8.3,1355,https://book.douban.com/subject/1801407/
近代的尺度 : 两次鸦片战争军事与外交,茅海建, 生活·读书·新知三联书店,, 2011-1, 378, 38.00元,三联文史新论,https://book.douban.com/series/12302, 9787108035752,8.3,316,https://book.douban.com/subject/5914500/
近代中国社会的新陈代谢 ,陈旭麓, 上海社会科学院出版社,, 2006-1, 428, 42.00元,经典大学人文社科读本,https://book.douban.com/series/1144, 9787806817919,8.9,1736,https://book.douban.com/subject/1491537/
中国史学名著 ,钱穆, 九州出版社,, 2011-7, 376, 49.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510810015,9.2,113,https://book.douban.com/subject/6981806/
中国思想通俗讲话 ,钱穆, 九州出版社,, 2011-5, 126, 24.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510807510,9.3,42,https://book.douban.com/subject/6717825/
朱子新学案 ,钱穆, 九州出版社,, 2011-1, 2400, 398.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510807008,9.3,70,https://book.douban.com/subject/6094260/
王阳明全集（全三册） : 简体横排,王守仁, 上海古籍出版社,, 2012-12, 1351, 178.00元,,, 9787532556373,9.4,68,https://book.douban.com/subject/20491911/
施特劳斯与流亡政治学 : 一个政治哲人的锻成,[美] 谢帕德, 华夏出版社,高山奎, 2013-9-1, 255页, 39.00元,西方传统：经典与解释·施特劳斯集,https://book.douban.com/series/5864, 9787508077376,8.0,32,https://book.douban.com/subject/25729117/
经史百家杂钞今注 ,曾国藩 编                   /                        熊宪光 蓝锡麟 等注, 上海书店出版社,, 2015-6, 847, 150.00元,,, 9787545810523,8.8,25,https://book.douban.com/subject/26418908/
中國文化叢談 ,钱穆, 九州出版社,, 2011-7, 402, 58.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510810077,8.0,23,https://book.douban.com/subject/7064589/
尚书引义 ,王夫之            / 校注                    王孝鱼, 中华书局,王孝鱼 注解, 2009-6, 180页, 19.00元,王夫之著作,https://book.douban.com/series/1563, 9787101066265,9.1,27,https://book.douban.com/subject/3792698/
东西文化及其哲学 ,梁漱溟, 商务印书馆,, 2009-7-1, 320, 28.00元,中华现代学术名著丛书,https://book.douban.com/series/6985, 9787100074469,8.2,120,https://book.douban.com/subject/6004624/
宋明理学概述 ,钱穆, 九州出版社,, 2011-1, 391, 48.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510806971,9.2,127,https://book.douban.com/subject/6097212/
中国近三百年学术史 ,钱穆, 九州出版社,, 2011-1, 896, 98.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510807015,9.1,154,https://book.douban.com/subject/6097214/
讲堂遗录（全二册） : 钱穆先生全集,钱穆, 九州出版社,, 2011-7-1, 871, 125.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510809972,9.2,29,https://book.douban.com/subject/10505529/
两汉经学今古文平议 ,钱穆, 九州出版社,, 2011-1, 449, 58.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510807060,9.1,79,https://book.douban.com/subject/6097218/
學籥 ,钱穆, 九州出版社,, 2011-5, 245, 36.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510807480,9.3,133,https://book.douban.com/subject/6717823/
宋代理学三书随札 ,钱穆, 九州,, 2011-1, 268, 35.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510806995,7.0,17,https://book.douban.com/subject/6097213/
中国学术通义 ,钱穆, 九州出版社,, 2011-5, 334, 45.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510807503,8.4,62,https://book.douban.com/subject/6775828/
八十憶雙親 師友雜憶 (合刊) ,钱穆, 九州出版社,, 2011-7, 425, 59.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510809996,9.7,131,https://book.douban.com/subject/10049471/
政學私言 ,钱穆, 九州出版社,, 2011-7, 265, 38.00元,钱穆先生全集,https://book.douban.com/series/7547, 9787510809781,7.9,28,https://book.douban.com/subject/6793725/
汉唐间史学的发展（修订本） ,胡宝国, 北京大学出版社,, 2014-10-1, 252, 39.00元,博雅撷英,https://book.douban.com/series/25554, 9787301248423,9.5,415,https://book.douban.com/subject/26107947/
品位与职位 : 秦汉魏晋南北朝官阶制度研究,阎步克, 中华书局,, 2009-7-1, 680, 48.00元,,, 9787101066869,9.2,259,https://book.douban.com/subject/3993370/
魏晋南北朝隋唐史三论 : 中国封建社会的形成和前期的变化,唐长孺, 中华书局,, 2011-4-1, 475, 46.00元,唐長孺文集,https://book.douban.com/series/5420, 9787101068320,9.4,386,https://book.douban.com/subject/5392437/
中古时代的历史书写与皇帝权力起源 ,徐冲, 上海古籍出版社,, 2017-9, 352, 88.00元,中古中国知识·信仰·制度研究书系,https://book.douban.com/series/12637, 9787532585311,8.0,211,https://book.douban.com/subject/27114651/
从爵本位到官本位 : 秦汉官僚品位结构研究,阎步克, 生活·读书·新知三联书店,, 2017-3, 521, 78.00,当代学术,https://book.douban.com/series/38522, 9787108059048,9.1,148,https://book.douban.com/subject/26992824/
中国古代的社会与国家 ,(日) 增渊龙夫, 上海古籍出版社,吕静, 2017-9-1, 429, CNY 88.00,日本中国史研究译丛,https://book.douban.com/series/4086, 9787532585038,9.1,158,https://book.douban.com/subject/27079193/
察举制度变迁史稿 ,阎步克, 中国人民大学出版社,, 2009-9-1, 300, 36.00元,当代中国人文大系,https://book.douban.com/series/2002, 9787300112763,8.6,152,https://book.douban.com/subject/4089734/
山居存稿 ,唐长孺, 中华书局,, 2011-4, 614, 59.00元,唐長孺文集,https://book.douban.com/series/5420, 9787101068337,9.5,81,https://book.douban.com/subject/5392458/
唐书兵志笺正 ,唐长孺, 中华书局,, 2011-4, 368, 34.00元,唐長孺文集,https://book.douban.com/series/5420, 9787101077025,9.5,65,https://book.douban.com/subject/5392432/
中国中古社会史论 ,毛汉光, 上海书店出版社,, 2002-12-1, 480, 35.00,,, 9787806227862,8.8,160,https://book.douban.com/subject/1397321/
从西郊到南郊 : 北魏的迁都与改革,康乐, 低音·北京联合出版公司,, 2020-7, 400, 75.00元,低音·回响,https://book.douban.com/series/46886, 9787559636140,8.9,165,https://book.douban.com/subject/34813540/
明末农民战争史 : （修订版）,顾诚, 光明日报出版社,, 2012-10, 425, 46.00元,顾诚著作系列,https://book.douban.com/series/9005, 9787511228130,8.0,434,https://book.douban.com/subject/19894446/
