title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
制度、制度变迁与经济绩效 ,(美国)道格拉斯·C.诺思, 格致出版社,杭行, 2014-4-1,176,35,当代经济学系列丛书·当代经济学译库,https://book.douban.com/series/32987,9.79E+12,9.2,139,https://book.douban.com/subject/26346156/
经济学与公共目标 ,[美国]            约翰·肯尼斯·加尔布雷思, 华夏出版社,于海生, 2010-1,366, 45.00元,当代西方经济学经典译丛,https://book.douban.com/series/12938,9.79E+12,9.2,21,https://book.douban.com/subject/4252776/
现代经济学主要流派 : 1870年以来的经济思想,本·塞利格曼, 华夏出版社,贾拥民, 2010-4,830, 98.00元,当代西方经济学经典译丛,https://book.douban.com/series/12938,9.79E+12,9.2,49,https://book.douban.com/subject/4862752/
资本主义 : 竞争、冲突与危机,[美]安瓦尔∙谢克, 中信出版集团,"赵准,李连波,孙小雨", 2021-1,1488,256,,,9.79E+12,9.2,24,https://book.douban.com/subject/35309022/
西方政治思想史 ,唐士其, 北京大学出版社,, 2008-9,623, 59.00元,21世纪国际关系学系列教材,https://book.douban.com/series/9338,9.79E+12,9.2,548,https://book.douban.com/subject/3283550/
宣传 : 观念、话语及其正当化,刘海龙, 中国大百科全书出版社,, 2013-1,388, 42.00元,传播学百科文库,https://book.douban.com/series/17267,9.79E+12,9.2,515,https://book.douban.com/subject/21345957/
解读中国经济 : 聚焦新时代的关键问题,林毅夫, 北京大学出版社,, 2018-9,390, 68.00元,,,9.79E+12,9.1,560,https://book.douban.com/subject/30329810/
从资本家手中拯救资本主义 : 捍卫金融市场自由，创造财富和机会,拉古拉迈•拉詹 (Raghuram G. Rajan), 中信出版社,, 2015-12-31,368, CNY 48.00,比较译丛,https://book.douban.com/series/32595,9.79E+12,9.1,127,https://book.douban.com/subject/26696883/
货币政策 : 理论与实务,(英）基思•贝恩                   /                (英)彼得•豪厄尔斯, 清华大学出版社,"扬农,周瀛,张慧卉", 2013-1,430, 59.00元,NAFMII金融译丛,https://book.douban.com/series/21475,9.79E+12,9.1,45,https://book.douban.com/subject/20451565/
宏观经济学史 : 从凯恩斯到卢卡斯及其后,[比]米歇尔·德弗洛埃, 北京大学出版社,"房誉,李雨纱,等", 2019-10,488, 98.00元,,,9.79E+12,9.1,28,https://book.douban.com/subject/34880471/
选择、价值与决策 ,[美] 丹尼尔·卡尼曼（Daniel Kahneman）                   /                        阿莫斯·特沃斯基（Amos Tversky）, 机械工业出版社,郑磊, 2018-3,888,259,诺贝尔经济学奖经典文库,https://book.douban.com/series/38231,9.79E+12,9.1,48,https://book.douban.com/subject/30172741/
结构性改革 : 中国经济的问题与对策,黄奇帆, 中信出版社,, 2020-6,448, 88元,,,9.79E+12,9,1925,https://book.douban.com/subject/35147504/
中央银行与货币供给(第2版) ,盛松成                   /                翟春, 中国金融出版社,, 2016-8-1,452, 58.00元,,,9.79E+12,9,64,https://book.douban.com/subject/27044673/
亚洲大趋势 : 中国和新兴经济体的未来,[美] 乔·史塔威尔, 中信出版社,蒋宗强, 2014-5,364, 68.00元,,,9.79E+12,9,732,https://book.douban.com/subject/25893995/
小镇喧嚣 : 一个乡镇政治运作的演绎与阐释,吴毅, 生活·读书·新知三联书店,, 2018-2,640, 68.00元,中国社会学经典文库,https://book.douban.com/series/39582,9.79E+12,9,801,https://book.douban.com/subject/30122152/
农业与工业化（上卷） ,张培刚, 华中科大,, 2002-10,258, 18.00元,,,9.79E+12,9,33,https://book.douban.com/subject/1618630/
